code,description,body_system
C4A8,Merkel cell carcinoma of overlapping sites,Neoplasms (cancer)
I44,Atrioventricular and left bundle-branch block,Circulatory (heart & vessels)
I7502,Atheroembolism of lower extremity,Circulatory (heart & vessels)
E32,Diseases of thymus,Endocrine & metabolic
J454,Moderate persistent asthma,Respiratory
M772,Periarthritis of wrist,Musculoskeletal
M2567,"Stiffness of ankle and foot, not elsewhere classified",Musculoskeletal
F81,Specific developmental disorders of scholastic skills,Mental & behavioural
J62,Pneumoconiosis due to dust containing silica,Respiratory
I61,Nontraumatic intracerebral hemorrhage,Circulatory (heart & vessels)
F161,Hallucinogen abuse,Mental & behavioural
C792,Secondary malignant neoplasm of skin,Neoplasms (cancer)
E7524,Niemann-Pick disease,Endocrine & metabolic
I8381,Varicose veins of lower extremities with pain,Circulatory (heart & vessels)
C4A7,"Merkel cell carcinoma of lower limb, including hip",Neoplasms (cancer)
I8021,Phlebitis and thrombophlebitis of iliac vein,Circulatory (heart & vessels)
C49,Malignant neoplasm of other connective and soft tissue,Neoplasms (cancer)
M0631,"Rheumatoid nodule, shoulder",Musculoskeletal
F1125,Opioid dependence with opioid-induced psychotic disorder,Mental & behavioural
C30,Malignant neoplasm of nasal cavity and middle ear,Neoplasms (cancer)
F182,Inhalant dependence,Mental & behavioural
C402,Malignant neoplasm of long bones of lower limb,Neoplasms (cancer)
M6688,"Spontaneous rupture of other tendons, other",Musculoskeletal
E7621,Morquio mucopolysaccharidoses,Endocrine & metabolic
E1169,Type 2 diabetes mellitus with other specified complication,Endocrine & metabolic
C401,Malignant neoplasm of short bones of upper limb,Neoplasms (cancer)
M9061,"Osteitis deformans in neoplastic diseases, shoulder",Musculoskeletal
I6341,Cerebral infarction due to embolism of middle cerebral artery,Circulatory (heart & vessels)
E722,Disorders of urea cycle metabolism,Endocrine & metabolic
J9585,Complication of respirator [ventilator],Respiratory
I453,Trifascicular block,Circulatory (heart & vessels)
E1064,Type 1 diabetes mellitus with hypoglycemia,Endocrine & metabolic
M0202,"Arthropathy following intestinal bypass, elbow",Musculoskeletal
J455,Severe persistent asthma,Respiratory
E1164,Type 2 diabetes mellitus with hypoglycemia,Endocrine & metabolic
C5051,"Malignant neoplasm of lower-outer quadrant of breast, female",Neoplasms (cancer)
C33,Malignant neoplasm of trachea,Neoplasms (cancer)
E1036,Type 1 diabetes mellitus with diabetic cataract,Endocrine & metabolic
J04,Acute laryngitis and tracheitis,Respiratory
F317,"Bipolar disorder, currently in remission",Mental & behavioural
E112,Type 2 diabetes mellitus with kidney complications,Endocrine & metabolic
M8512,"Skeletal fluorosis, upper arm",Musculoskeletal
E31,Polyglandular dysfunction,Endocrine & metabolic
C4471,"Basal cell carcinoma of skin of lower limb, including hip",Neoplasms (cancer)
F1118,Opioid abuse with other opioid-induced disorder,Mental & behavioural
J17,Pneumonia in diseases classified elsewhere,Respiratory
I78,Diseases of capillaries,Circulatory (heart & vessels)
F1424,Cocaine dependence with cocaine-induced mood disorder,Mental & behavioural
M173,Unilateral post-traumatic osteoarthritis of knee,Musculoskeletal
I8244,Acute embolism and thrombosis of tibial vein,Circulatory (heart & vessels)
E760,"Mucopolysaccharidosis, type I",Endocrine & metabolic
F71,Moderate intellectual disabilities,Mental & behavioural
M2445,"Recurrent dislocation, hip",Musculoskeletal
F1422,Cocaine dependence with intoxication,Mental & behavioural
C962,Malignant mast cell neoplasm,Neoplasms (cancer)
C915,Adult T-cell lymphoma/leukemia (HTLV-1-associated),Neoplasms (cancer)
J9582,Postprocedural respiratory failure,Respiratory
C400,Malignant neoplasm of scapula and long bones of upper limb,Neoplasms (cancer)
F24,Shared psychotic disorder,Mental & behavioural
C01,Malignant neoplasm of base of tongue,Neoplasms (cancer)
M0204,"Arthropathy following intestinal bypass, hand",Musculoskeletal
J05,Acute obstructive laryngitis [croup] and epiglottitis,Respiratory
F1828,Inhalant dependence with other inhalant-induced disorders,Mental & behavioural
E754,Neuronal ceroid lipofuscinosis,Endocrine & metabolic
C930,Acute monoblastic/monocytic leukemia,Neoplasms (cancer)
J8411,Idiopathic interstitial pneumonia,Respiratory
F524,Premature ejaculation,Mental & behavioural
I9713,Postprocedural heart failure,Circulatory (heart & vessels)
I253,Aneurysm of heart,Circulatory (heart & vessels)
M84531,"Pathological fracture in neoplastic disease, right ulna",Musculoskeletal
J156,Pneumonia due to other Gram-negative bacteria,Respiratory
J66,Airway disease due to specific organic dust,Respiratory
I650,Occlusion and stenosis of vertebral artery,Circulatory (heart & vessels)
C00,Malignant neoplasm of lip,Neoplasms (cancer)
C348,Malignant neoplasm of overlapping sites of bronchus and lung,Neoplasms (cancer)
F1824,Inhalant dependence with inhalant-induced mood disorder,Mental & behavioural
E051,Thyrotoxicosis with toxic single thyroid nodule,Endocrine & metabolic
C17,Malignant neoplasm of small intestine,Neoplasms (cancer)
C926,Acute myeloid leukemia with 11q23-abnormality,Neoplasms (cancer)
M84463,"Pathological fracture, right fibula",Musculoskeletal
J042,Acute laryngotracheitis,Respiratory
E742,Disorders of galactose metabolism,Endocrine & metabolic
C5021,"Malignant neoplasm of upper-inner quadrant of breast, female",Neoplasms (cancer)
M9327,Osteochondritis dissecans of ankle and joints of foot,Musculoskeletal
F983,Pica of infancy and childhood,Mental & behavioural
E260,Primary hyperaldosteronism,Endocrine & metabolic
C37,Malignant neoplasm of thymus,Neoplasms (cancer)
J983,Compensatory emphysema,Respiratory
M2505,"Hemarthrosis, hip",Musculoskeletal
C465,Kaposi's sarcoma of lung,Neoplasms (cancer)
M8724,"Osteonecrosis due to previous trauma, hand and fingers",Musculoskeletal
M83,Adult osteomalacia,Musculoskeletal
J453,Mild persistent asthma,Respiratory
I972,Postmastectomy lymphedema syndrome,Circulatory (heart & vessels)
E0964,Drug or chemical induced diabetes mellitus with hypoglycemia,Endocrine & metabolic
F028,Dementia in other diseases classified elsewhere,Mental & behavioural
E7131,Disorders of fatty-acid oxidation,Endocrine & metabolic
I8243,Acute embolism and thrombosis of popliteal vein,Circulatory (heart & vessels)
I9782,Postprocedural cerebrovascular infarction,Circulatory (heart & vessels)
F1412,Cocaine abuse with intoxication,Mental & behavioural
E104,Type 1 diabetes mellitus with neurological complications,Endocrine & metabolic
C52,Malignant neoplasm of vagina,Neoplasms (cancer)
M8906,"Algoneurodystrophy, lower leg",Musculoskeletal
M0207,"Arthropathy following intestinal bypass, ankle and foot",Musculoskeletal
J14,Pneumonia due to Hemophilus influenzae,Respiratory
